"","SYMBOL","ENTREZID","ENSEMBL"
"203","LCLAT1","253558","ENSG00000172954"
"204","TMPRSS12","283471","ENSG00000186452"
"205","CYP4A22","284541","ENSG00000162365"
"206","COX18","285521","ENSG00000163626"
"207","ZC3H12B","340554","ENSG00000102053"
"208","ZNF726","730087","ENSG00000213967"
"209","TMEM239","100288797","ENSG00000198326"
"210","NOL4L","140688","ENSG00000197183"
"211","HACD4","401494","ENSG00000188921"
"212","ADCYAP1R1","117","ENSG00000078549"
"213","CDKN1B","1027","ENSG00000111276"
"214","KLF6","1316","ENSG00000067082"
"215","DAB2","1601","ENSG00000153071"
"216","MARK2","2011","ENSG00000072518"
"217","GPC5","2262","ENSG00000179399"
"218","FOXN2","3344","ENSG00000170802"
"219","IGF1","3479","ENSG00000017427"
"220","IL6ST","3572","ENSG00000134352"
"221","IL7R","3575","ENSG00000168685"
"222","LDHA","3939","ENSG00000134333"
"223","LDHA","3939","ENSG00000288299"
"224","MAP3K9","4293","ENSG00000006432"
"225","OVOL1","5017","ENSG00000172818"
"226","PTPRJ","5795","ENSG00000149177"
"227","TRA2B","6434","ENSG00000136527"
"228","VEGFA","7422","ENSG00000112715"
"229","ZNF223","7766","ENSG00000178386"
"230","CSDE1","7812","ENSG00000009307"
"231","CDKL2","8999","ENSG00000138769"
"232","ZNF264","9422","ENSG00000083844"
"233","SDC3","9672","ENSG00000162512"
"234","KIAA0232","9778","ENSG00000170871"
"235","TATDN2","9797","ENSG00000157014"
"236","STAMBP","10617","ENSG00000124356"
"237","MAP3K2","10746","ENSG00000169967"
"238","ZNF460","10794","ENSG00000197714"
"239","ADAMTS8","11095","ENSG00000134917"
"240","DUSP10","11221","ENSG00000143507"
"241","PHLPP1","23239","ENSG00000081913"
"242","BCL2L13","23786","ENSG00000099968"
"243","INVS","27130","ENSG00000119509"
"244","SERP1","27230","ENSG00000120742"
"245","RAB30","27314","ENSG00000137502"
"246","TNRC6A","27327","ENSG00000090905"
"247","TNRC6A","27327","ENSG00000288130"
"248","KCNMB4","27345","ENSG00000135643"
"249","MED4","29079","ENSG00000136146"
"250","FAM13B","51306","ENSG00000031003"
"251","KLHL24","54800","ENSG00000114796"
"252","PCDHB11","56125","ENSG00000197479"
"253","KCNQ5","56479","ENSG00000185760"
"254","CELF4","56853","ENSG00000101489"
"255","ZNF608","57507","ENSG00000168916"
"256","MSANTD4","84437","ENSG00000170903"
"257","TRIM5","85363","ENSG00000132256"
"258","CALML4","91860","ENSG00000129007"
"259","CYGB","114757","ENSG00000161544"
"260","LRRC58","116064","ENSG00000163428"
"261","PM20D2","135293","ENSG00000146281"
"262","TMEM161B","153396","ENSG00000164180"
"263","SPRED1","161742","ENSG00000166068"
"264","SGMS2","166929","ENSG00000164023"
"265","ZNF850","342892","ENSG00000267041"
"266","CCDC160","347475","ENSG00000203952"
"267","ENO4","387712","ENSG00000188316"
"270","PGAM4","441531","ENSG00000226784"
"271","ATXN7L3B","552889","ENSG00000253719"
"272","MTRNR2L8","100463486","ENSG00000255823"
"273","MTRNR2L10","100463488","ENSG00000256045"
"274","AKT2","208","ENSG00000105221"
"275","BDNF","627","ENSG00000176697"
"276","BMP6","654","ENSG00000153162"
"277","BMP7","655","ENSG00000101144"
"278","BMPR1B","658","ENSG00000138696"
"279","BSG","682","ENSG00000172270"
"280","BTF3","689","ENSG00000145741"
"281","BTG1","694","ENSG00000133639"
"282","BUB1B","701","ENSG00000156970"
"283","CCNT2","905","ENSG00000082258"
"284","CD151","977","ENSG00000177697"
"285","CDK1","983","ENSG00000170312"
"286","CDH5","1003","ENSG00000179776"
"287","CDK6","1021","ENSG00000105810"
"288","CDKN1A","1026","ENSG00000124762"
"289","CREB1","1385","ENSG00000118260"
